News Title,Proverb,Similarity level
"Clima: portugueses acreditam que protestos podem gerar novas políticas
","em questões de amor e bravura, os que mais roncam são os que menos fazem.
",0.8464719
"“Ainda não é demasiado tarde para salvarmos os oceanos”
","quem não é para comer, não é para trabalhar.
",0.9207565
"Nações Unidas alertam que temperatura do planeta vai aumentar
","mais do que o dado, vale a maneira de o dar.
",0.8784448
"A 29 de Novembro há nova Greve Climática Estudantil — para inaugurar a “época de ouro do activismo”
","a verdade na arte é apenas a sinceridade das impressões do artista.
",0.93190867
"Clima – 10 resoluções para 2020
","o Sol nasce para todos, e a sombra para poucos.
",0.77079844
"Nova meta de inflação e combate ao aquecimento global. O BCE redefine a sua missão
","dar a César o que é de César e a Deus o que é de Deus.
",0.918407
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.8798612
"Malásia devolve 150 contentores ilegais de lixo a países desenvolvidos
","a ordem dos fatores não altera o produto.
",0.7909005
"Relógio do Apocalipse coloca humanidade a 100 segundos do fim
","mais do que o dado, vale a maneira de o dar.
",0.933371
"""Tempestade """"Glória"""" fez 12 mortos em Espanha. Governo culpa alterações climáticas""
","na morte e na boda verás quem te honra.
",0.8295796
"Impacto mais antigo de um asteroide na Terra ocorreu na Austrália há 2.229 milhões de anos
","mais vale ter um pássaro na mão do que dois a voar.
",0.93801975
"Atuais emissões de gases vão provocar aumento de três graus nas temperaturas
","às três é de vez.
",0.8481994
"Quer combater o aquecimento global? Plante uma árvore
","o ar que cada um se quer dar, não vale o que procura deixar.
",0.8421066
"Veredicto abre a porta a protecção para “refugiados climáticos”
","é a fome e o frio que põe a lebre a caminho.
",0.857264
"PAN propõe fim da isenção do imposto do petróleo para avião e barcos
","mais do que o dado, vale a maneira de o dar.
",0.93403673
"Judoca Jorge Fonseca galardoado com o prémio Ética no Desporto de 2019
","com um olho no burro e o outro no cigano.
",0.8747123
"Paulo Gonçalves condecorado a título póstumo com Colar de Honra ao Mérito Desportivo
","foge o diabo da cruz e o morcego da luz.
",0.87297124
"Judocas Jorge Fonseca e Patrícia Sampaio eleitos atletas do ano na Gala do Desporto
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.9112257
"Óculos de natação com realidade aumentada
","a boca do ambicioso só se fecha com terra de sepultura.
",0.79603636
"De pequenino se começa a rolar no primeiro skatepark do Porto
","o que se não faz no dia da romaria, faz-se no outro dia.
",0.9590078
"Única medalhada do Irão desertou: “Sou uma de milhões de mulheres oprimidas”
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.93258095
"Reações à morte do ""Speedy"", o altruísta que parou para ajudar um rival no deserto
","mais do que o dado, vale a maneira de o dar.
",0.94005513
"Magia dos patins faz a Oliveirense crescer no hóquei
","mais vale um pássaro na mão do que dois a voar.
",0.89172786
"Kobe Bryant, o fim trágico de uma estrela
","mais vale uma vista do dono, que cem brados do abegão.
",0.8731872
"Presidente da federação de Andebol diz que Tóquio2020 seria ""topo do topo""
","dar a César o que é de César e a Deus o que é de Deus.
",0.9343667
"Mais rápido, mais alto, mais forte. Um calendário para homenagear os paralímpicos
","mais alto é aquele que mais tem.
",0.91209835
"Seleção portuguesa de andebol recebida com fortes aplausos na chegada a Lisboa
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.9117526
"Atletas de 22 nacionalidades correram na Meia Maratona Manuela Machado
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.85189676
"Paulo Gonçalves. Uma vida de suor dedicada a correr na areia em imagens
","a verdade na arte é apenas a sinceridade das impressões do artista.
",0.9298285
"Queda impressionante de jogador interrompe Benfica-F.C. Porto em basquetebol
","bom tempo no Inverno e mau no estio - mau ano de fome, bom ano de frio.
",0.8333691
"Ford experimenta um novo combustível: óleo de cozinha
","azeite de cima, mel do meio e vinho do fundo, não enganam o mundo.
",0.8175336
"Escócia terá energia 100% renovável até ao final de 2020
","mais do que o dado, vale a maneira de o dar.
",0.89467794
"Em Idanha-a-Nova vai crescer um aldeamento sustentável para viver ou visitar
","estar a olhar para qualquer coisa como um boi para um palácio.
",0.8820504
"Um museu temporário para mudar comportamentos para sempre
","estar a olhar para qualquer coisa como um boi para um palácio.
",0.92215276
"Destruídos 41 mil ninhos de vespa-asiática em cinco anos
","nove meses de Inverno, três de inferno.
",0.87259793
"""Não é com mais barragens"" que se resolve falta de água, mas também pode ser
","assás é de pouco saber quem se mata pelo que não pode haver.
",0.9553272
"ONU critica inação no Pinhal de Leiria
","mal por mal, antes na cadeia do que no hospital.
",0.8670415
"O vírus não precisa de passaporte
","não vendas a pele do urso antes de o matar.
",0.88758045
"Ministro do Ambiente apoia central de dessalinização no Algarve
","a grama é sempre mais verde do lado do vizinho.
",0.91154647
"O “Brexit”, a geopolítica atlântica e a macrorregião europeia peninsular
","a união faz a força.
",0.87396514
"E que tal usar flores, vermes e estrume para reduzir a poluição das águas?
","a água é tão útil às plantas como o alimento aos animais.
",0.9060983
"Investigador sugere que os OVNIs são pilotados por humanos do futuro
","em questões de amor e bravura, os que mais roncam são os que menos fazem.
",0.9222751
"Proteção de dados pessoais é condição da dignidade.
","a verdade na arte é apenas a sinceridade das impressões do artista.
",0.9018253
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.
",0.8798612
"Máscaras esgotam nas farmácias, das mais simples às mais elaboradas
","as tatuagens nas costas são conhecidas daqueles que as executam.
",0.9184519
"Médicos fazem exames desportivos à pressão e a troco de 2,3 euros por consulta
","ao Diabo e à mulher nunca falta que fazer.
",0.8795858
"Auriol Dongmo fixa novo recorde de Portugal no peso feminino
","no dia de S. Martinho vai à adega e prova o vinho.
",0.8778993
"Paulo Conceição com novo recorde de Portugal no salto em altura
","zombai do tolo em casa, zombará convosco na praça.
",0.93036824
"Kobe Bryant: Eternidade chegou depressa de mais a quem nasceu para se tornar uma lenda
","se queres conhecer o vilão, põe-lhe uma vara na mão.
",0.9168509
"As fotografias da vida em Fukushima — nove anos depois do desastre nuclear
","a verdade na arte é apenas a sinceridade das impressões do artista.
",0.9289252
"Missão Paralímpica Tóquio2020 prepara atletas para participação ao mais alto nível
","a aversão é para o coração, o que a prevenção é para o espírito.
",0.8943849
"Portugal vence Bélgica e aproxima-se da manutenção no ‘Championship’ de râguebi
","o que se não faz no dia da romaria, faz-se no outro dia.
",0.91726214
"Choque mundial do coronavírus. Bolsas perdem 1% em janeiro e juros da dívida em queda
","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.90218496
"Investimento em fundos sustentáveis dispara
","nas empresas arrojadas, o êxito depende do primeiro impulso.
",0.723008
"Países “não estão preparados” para crises de saúde pública
","para cá do Marão, mandam os que cá estão, para lá do Marão, mandam os que de cá vão.
",0.8691343
"Corona vírus: Uma infeção que constipa as economias
","mais vale uma palavra antes que duas depois.
",0.82188535
"Mundo fecha as portas a viajantes da China com receio do coronavírus
","a boca do ambicioso só se fecha com terra de sepultura.
",0.9309466
Todos no planeta (afinal) temos um pouco de neandertal,"desconfiai de vós, dos homens e do mundo, mas confiai em Deus.
",0.9256794
