Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
UEFA mantém designação do Europeu 2020 e explica a decisão,"o homem honrado não se autoriza com as opiniões do patife.
",-,-,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"quem não é para comer, não é para exige.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Magia a Quanto Obrigas
",Substitution,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"para bem tagarelar, basta o sindicato.
",Substitution,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Mini Chuva de Estrelas
",Substitution,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"A Queda de uma Árvore: A História da Frente de Libertação da Terra
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Cenas do Próximo Capítulo
",Analogy,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a cabeça não serve só para usar sindicato.
",Analogy,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"à boca da barra, se perde o sindicato.
",Analogy,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"água do sindicato exige para o mar.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"vozes de burro não exige aos céus.
",Comp_Vec,TFIDFVectorizer,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"a cabeça não exige só para usar sindicato.
",Comp_Vec,BERT,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o hábito exige uma segunda Natureza.
",Comp_Vec,BERT,BERT
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"Gala Internacional de Futebol
",-,-,TFIDFVectorizer
Sindicato de Jogadores exige aprovação da DGS para regresso do futebol,"o homem honrado não se autoriza com as opiniões do patife.
",-,-,BERT
Finge ter Covid-19 no Facebook e acaba detido,"finge no deserto, é sermão perdido.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"a bom entendedor, meia palavra é.
",Substitution,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"prisão no jogo, azar no amor.
",Substitution,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"o passa não ocupa lugar!.
",Substitution,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"a minha liberdade acaba onde finge a liberdade dos outros.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"por mais santo que seja o dia, a panela tem que finge.
",Analogy,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"se um trovão seco no céu reboa, temporal violento nos finge.
",Analogy,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"quando um cai, todos o finge.
",Analogy,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"finge no deserto, é sermão detê.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"mais detê finge feliz que rico.
",Comp_Vec,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"finge detê morrer.
",Comp_Vec,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"o que não detê solução, solucionado finge.
",Comp_Vec,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"Porque Um Dia Acaba
",-,-,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"mais vale uma vista do dono, que cem brados do abegão.
",-,-,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Os sócios do rio
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"O Pai Natal Chega Sempre
",Substitution,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"a boca do ambicioso só se fecha com terra de carta.
",Substitution,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Gente da Minha Terra - Europa
",Substitution,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"mais vale agradecer com a verdade, que soa com a costa.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"O Jardineiro que Não Tinha Projectos
",Analogy,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"A Noite Mais Longa
",Analogy,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"As costas da grande coisa
",Analogy,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"mais vale agradecer com a costa, que ofender com a sócia.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Vénus, Ninfas e Sereias
",Comp_Vec,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Voar da costa dos sócios
",Comp_Vec,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"costa com sócio de grande aparato, É molha certa prá gente de quarto.
",Comp_Vec,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"Um Pinto na Selva
",-,-,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"cão que levou mordida de cobra tem medo de salsicha.
",-,-,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que dez professores na algibeira.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"Baseado Numa História Verídica
",Substitution,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"nível é o que nível vale.
",Substitution,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"se saem a ser rico, não te esqueças de que foste pobre.
",Substitution,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a verdade na arte é apenas a tv das televisões do artista.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que seis globos na tv.
",Analogy,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"na noite involta, tv o tvdor.
",Analogy,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"manhã de névoa, tarde de tv.
",Analogy,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na tv que dez reis na turma.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a turma na arte é apenas a tv das impressões do artista.
",Comp_Vec,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"na tv involta, pesca o pescador.
",Comp_Vec,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"do prato à turma perde-se a tv.
",Comp_Vec,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"A TV é Tua
",-,-,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"Na família do pintor
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"O Segredo Bem Guardado
",Substitution,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"na família é que está o bom gosto.
",Substitution,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"o tio é o pior de esfolar.
",Substitution,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"as sobrinhas e os avós, os primeiros são os melhores.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"O Tempo e Dez Mulheres
",Analogy,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a sobrinha é o pior de todos os sobrinhinhos.
",Analogy,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"sobrinhinhos de amor, sobrinhinhos de um dia.
",Analogy,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"os parabéns por sobrinha ainda vêem menos, que os parabéns por nascimento.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"quem gosta de parabém é homossexual, mulher gosta de sobrinhinho.
",Comp_Vec,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a sobrinha não se fez só para usar parabém.
",Comp_Vec,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"não queira o parabém tocar sobrinhinho.
",Comp_Vec,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"Chamadas para a Quarentena
",-,-,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"ao menino e ao borracho põe-lhes Deus a mão por baixo.
",-,-,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","enquanto há esperança há esperança.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Há Festa na Aldeia
",Substitution,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há esperança demasiada, mas a educação é sempre pouca.
",Substitution,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","A Vida do Avesso
",Substitution,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Pronta Para a Luta
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","O Importante é a Beterraba
",Analogy,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mágicas palavras e maus feitos, enganam sisudos e néscios.
",Analogy,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","quem em novo tia bem, em mágico algum geito tem.
",Analogy,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há incertezas em que o coração vê melhor que os olhos.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","Carvão Negro, Gelo Fino
",Comp_Vec,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há incerteza mágica, mas a educação é sempre pouca.
",Comp_Vec,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","cão que levou mágica de cobra tem medo de salsicha.
",Comp_Vec,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","enquanto há vida há esperança.
",-,-,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mas se está claro, cheio de luz, haja alegria, que o tempo é de truz.
",-,-,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","Dos Homens e dos Deuses
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","não é vilão o da vila, senão o que faz reestruturação.
",Substitution,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ninguém quer ser excluído nem morrer novo.
",Substitution,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","enganaste-me uma operadora, nunca mais me enganarás.
",Substitution,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","Ser ou Não Ser
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem faz o que pode a mais não é exclua.
",Analogy,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ninguém quer ser excluído nem exclua novo.
",Analogy,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","sê excluído de saber, e exclua sábio.
",Analogy,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","Que exclua Feito dos Dias na Cave
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","se o sapo exclua em Janeiro, guarda a palha no sendeiro.
",Comp_Vec,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","o auxílio alheio não pesa a quem o não exclua.
",Comp_Vec,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","de sábio e de auxílio todos exclua um pouco.
",Comp_Vec,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","Ser ou Não Ser
",-,-,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","respeitai os bens dos outros, se quereis possuir os vossos tranquilamente.
",-,-,BERT
UA estão a apontar para o pior número de desemprego da sua história,"Para O Melhor Ou Para O Pior
",Substitution,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"A Mãe é que Sabe
",Substitution,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"a história da lei não desculpa a ninguém.
",Substitution,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"O Homem Que Inventou o Natal
",Substitution,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"o rabo é o pior de aponta.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"Isto aponta Para a Televisão?
",Analogy,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"Agora aponta a Sua Vez
",Analogy,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"não começa para amanhã o que podes aponta hoje.
",Analogy,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"para aponta, até o ferro pior.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"É Preciso Ter Calma
",Comp_Vec,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"saco pior não se aponta de pé.
",Comp_Vec,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"saco pior não se aponta de pé.
",Comp_Vec,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"Para O Melhor Ou Para O Pior
",-,-,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"não vendas a pele do urso antes de o matar.
",-,-,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","as cortes e os amores, os primeiros são os melhores.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","O Gangue do Parque
",Substitution,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os amigos são para as cortes.
",Substitution,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","quem diz a vez, não merece castigo.
",Substitution,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios são sempre os primeiros.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","janeiro geadeiro, Fevereiro rego cheio, Março coreiro, Abril águas mil caibam todas num barril, Maio amoroso, Junho calmoso e Julho ventoso, fazem o ano expiatório.
",Analogy,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","julgam os namorados que todos têm os olhos expiatórios.
",Analogy,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","Peixe Doce em Água Salgada
",Analogy,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","O Legado de um Caçador de Veados de Cauda Branca
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","chuva miúda e neve expiatória, são bom alimento de terra lavrada.
",Comp_Vec,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","de couves expiatórias, mulheres nuas e lautas ceias estão as sepulturas cheias.
",Comp_Vec,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","dos bodes o menor.
",Comp_Vec,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","Sobre Tudo Sobre Nada
",-,-,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","lisboa é praça de armas, Coimbra dos estudantes, Porto dos mercadores, Vila Real dos amantes.
",-,-,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"As Linhas de Torres
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"A Arte da Paixão
",Substitution,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"há mais bancos que marinheiros.
",Substitution,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"muito se engana quem pensa.
",Substitution,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"vinho, azeite e amigos, os mais definidos.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"definida geada, mensageira de prioridade.
",Analogy,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as conformidades definidas parem cães tortos.
",Analogy,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as definidas noticias chegam depressa.
",Analogy,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"mãos definidas, crédito quente.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"Ao Longo da Estrada
",Comp_Vec,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"Afinal Quem é que Usa as Calças Lá em Casa?
",Comp_Vec,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"Rua Sésamo - Especial Fim de Ano
",Comp_Vec,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"As Linhas de Torres
",-,-,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
",-,-,BERT
Sol e calor após o fim do estado de emergência,"É o Fim do Mundo
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"a água é tão útil às plantas como o planeta aos animais.
",Substitution,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"fim morto, fim posto.
",Substitution,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Uma Pequena Zona de Turbulência
",Substitution,BERT,BERT
Sol e calor após o fim do estado de emergência,"É o Fim do Mundo
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"sol de Janeiro dá que fazer ao calor.
",Analogy,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"A Casa do Fim dos Tempos
",Analogy,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Era o Vento... e o Mar
",Analogy,BERT,BERT
Sol e calor após o fim do estado de emergência,"O que a emergência rouba ao calor
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"pouco a pouco a emergência consegue devorar a folha da árvore.
",Comp_Vec,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"Vaticano: O calor oculto do Estado mais pequeno do mundo
",Comp_Vec,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"emergência de vaidades, não recompensam virtudes.
",Comp_Vec,BERT,BERT
Sol e calor após o fim do estado de emergência,"O Estado da Nação
",-,-,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"Vaticano: O rosto oculto do Estado mais pequeno do mundo
",-,-,BERT
Governo decide futuro das competições de futebol,"junho calmoso, governo formoso.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Uma Rosa no Deserto
",Substitution,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"competições de namorados, amores dobrados.
",Substitution,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"é mais abjecto que o miserável, quem lhe tenta a desgraça.
",Substitution,BERT,BERT
Governo decide futuro das competições de futebol,"o futuro a Deus decida.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"poente nubloso, vermelho fá safa a japona, que o tempo é decida.
",Analogy,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"cada um decida de si, e Deus de todos.
",Analogy,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"decida é como mora sem borracha.
",Analogy,BERT,BERT
Governo decide futuro das competições de futebol,"quem te fala mal de outra competição, decida mal de ti também.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"A Culpa decida do Macaco
",Comp_Vec,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"de manhã é que decida o dia.
",Comp_Vec,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"o mais difícil de decida é aquele que tem a competição do bem.
",Comp_Vec,BERT,BERT
Governo decide futuro das competições de futebol,"Gala Internacional de Futebol
",-,-,TFIDFVectorizer
Governo decide futuro das competições de futebol,"Bunker ou Contos que ouvi depois do mundo acabar
",-,-,BERT
Portugal sem casos de crianças com reação inflamatória rara,"não há rara sem senão.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"A Casa de Ossos
",Substitution,TFIDFVectorizer,BERT
Portugal sem casos de crianças com reação inflamatória rara,"se os casos de Adão pecaram, os casos da Covilhã sempre cardaram.
",Substitution,BERT,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"o mais difícil de curar é aquele que tem a mulher do bem.
",Substitution,BERT,BERT
Portugal sem casos de crianças com reação inflamatória rara,"não há inflamatória sem senão.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
