Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","da braga os tipos prescritos
",Comp_Vec,BERT,BERT
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","braga é o penico do céu.
",-,-,TFIDFVectorizer
"Abusos sexuais de sacerdotes a menores em Braga ""canonicamente prescritos""
","de couves cruas, mulheres nuas e lautas ceias estão as sepulturas cheias.
",-,-,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","uma hora mais simples
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","o tipo mais fraco
",Substitution,TFIDFVectorizer,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","quem conversa quer conversa.
",Substitution,BERT,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","bom tempo no inverno e mau no estio - mau ano de fome, bom ano de tipo.
",Substitution,BERT,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","a gotícula é simples
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","o discernimento da gotícula
",Analogy,TFIDFVectorizer,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","se o gosto é mais que o ar, daí o trato por desfeito.
",Analogy,BERT,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","o mistério da nuvem
",Analogy,BERT,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","gotículas pequenas, altas e escuras são chuvas certas e suspensas.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","mente suspensa em corpo suspensao
",Comp_Vec,TFIDFVectorizer,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","suspensas gotículas, suspensas mentiras.
",Comp_Vec,BERT,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","a gotícula dos suspensos
",Comp_Vec,BERT,BERT
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","uma vida mais simples
",-,-,TFIDFVectorizer
"Uma simples conversa gera gotículas que podem ficar suspensas no ar até 14 minutos
","receia-se menos um bravo em cólera, que um cobarde que dissimula.
",-,-,BERT
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"a árvore da publicidade
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"feedback: escritores em oposição
",Substitution,TFIDFVectorizer,BERT
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"o governo da polca
",Substitution,BERT,TFIDFVectorizer
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"não te metas no que não te diz país.
",Substitution,BERT,BERT
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"o jogo da pondera
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"o jogo - descartar para ponderar
",Analogy,TFIDFVectorizer,BERT
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"quem vai ao vento pondera o assento.
",Analogy,BERT,TFIDFVectorizer
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"o desconfiado pondera a ser traído.
",Analogy,BERT,BERT
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"a limitar pondera que nos entendemos
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"bem dizer faz limitar, bem ponderar faz calar.
",Comp_Vec,TFIDFVectorizer,BERT
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"o desconfiado pondera a limitar traído.
",Comp_Vec,BERT,TFIDFVectorizer
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"assás limita de pouco saber quem se mata pelo que não pondere haver.
",Comp_Vec,BERT,BERT
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"o jogo da verdade
",-,-,TFIDFVectorizer
Governo pondera alterar Código da Publicidade e limitar anúncios ao jogo online,"mais vale um gosto na vida que dez reis na algibeira.
",-,-,BERT
