Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection
Finge ter Covid-19 no Facebook e acaba detido,"onde a vez acaba
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"nem por tê natal
",Substitution,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"um lado no burro e outro no cigano.
",Substitution,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"quem com ferro fere, com ferro será preso.
",Substitution,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"que bem que se finge no campo
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"não se desconfie fingi em tudo
",Analogy,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"finge melhor quem finge por último.
",Analogy,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"terras de quem finjo
",Analogy,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"fingi no deserto, é sermão detido.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"não detenho vivo nem morto, detenho aquilo que finge roto.
",Comp_Vec,TFIDFVectorizer,BERT
Finge ter Covid-19 no Facebook e acaba detido,"quem com ferro finge, com ferro será detido.
",Comp_Vec,BERT,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"quem com ferro detém, com ferro será fingido.
",Comp_Vec,BERT,BERT
Finge ter Covid-19 no Facebook e acaba detido,"porque um dia acaba
",-,-,TFIDFVectorizer
Finge ter Covid-19 no Facebook e acaba detido,"mais vale uma vista do dono, que cem brados do abegão.
",-,-,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"um pinto na carta
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"quem feio diga, bonito lhe parece.
",Substitution,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"o dia mais feliz da tua carta
",Substitution,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"primeiro, digam o meu pai
",Substitution,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"sem anos de costa
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"fado, história de um mato
",Analogy,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"da coelha e da costa
",Analogy,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"aquarela: a costa da capitã
",Analogy,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"a costa de sócios
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"o homem do sócio de ferro
",Comp_Vec,TFIDFVectorizer,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"em costa de sócios, de cócoras como eles.
",Comp_Vec,BERT,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"a costa, os sócios e eu!
",Comp_Vec,BERT,BERT
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"um pinto na selva
",-,-,TFIDFVectorizer
Pinto da Costa escreveu carta a sócios com mais de 70 anos,"cão que levou mordida de cobra tem medo de salsicha.
",-,-,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"mais vale um gosto na vida que dez professores na algibeira.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o que fazemos nas televisões
",Substitution,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"do nível ao fim
",Substitution,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"se estiveres a ser rico, não te esqueças de que foste pobre.
",Substitution,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv das tvs
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o record do teu coração
",Analogy,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv do globo
",Analogy,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"tv de globo, tarde de calmeiro.
",Analogy,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv das turmas
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a turma da senhora peregrine para tvs peculiares
",Comp_Vec,TFIDFVectorizer,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv do menino
",Comp_Vec,BERT,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"do prato à turma perde-se a tv.
",Comp_Vec,BERT,BERT
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv é tua
",-,-,TFIDFVectorizer
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,-,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"uma família para o natal
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"o tocá bem é de poucos.
",Substitution,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"os olhos da família
",Substitution,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"sincero de uma inspectora do livro de recordes
",Substitution,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"uma sobrinha para avô
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"um sobrinhinho, dois avós
",Analogy,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a cidade na sobrinha dos sobrinhinhos
",Analogy,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"um sobrinhinho de tia
",Analogy,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"os parabéns de sobrinha no coração
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"papagaio come o milho, sobrinhinho leva a fama.
",Comp_Vec,TFIDFVectorizer,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"o sobrinhinho sobre os parabéns
",Comp_Vec,BERT,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"parabém e sobrinha, tiram o homem de fadiga.
",Comp_Vec,BERT,BERT
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"chamadas para a quarentena
",-,-,TFIDFVectorizer
Ronaldo juntou a família na quarentena para cantar os parabéns à sobrinha,"a casa da senhora peregrine para crianças peculiares
",-,-,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","a incerteza é para o coração, o que a prevenção é para o espírito.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","duas histórias de vítima
",Substitution,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","a tragédia da família
",Substitution,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","o amor é um desastre
",Substitution,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","a vida é mágicas
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","na magia de mágicos
",Analogy,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mágicas palavras e maus feitos, enganam sisudos e néscios.
",Analogy,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","missão impossível: criatura mágica
",Analogy,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há incertezas em que o coração vê melhor que os olhos.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mágicos: incerteza do infinito
",Comp_Vec,TFIDFVectorizer,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há incerteza mágica, mas a educação é sempre pouca.
",Comp_Vec,BERT,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","nuvens espessas e acumuladas, incertezas certas e mágicas.
",Comp_Vec,BERT,BERT
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","enquanto há vida há esperança.
",-,-,TFIDFVectorizer
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mas se está claro, cheio de luz, haja alegria, que o tempo é de truz.
",-,-,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ser ou não ser ... pode a questão
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","os particulares - a revolução
",Substitution,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ninguém quer ser excluído nem morrer novo.
",Substitution,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","maridos peraltas e mulheres particulares
",Substitution,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem exclua o que pode a mais não é excluído.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","se ao vale a névoa baixar, vai para o mar. mas se p'los montes se exclua, fica em casa.
",Analogy,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ninguém quer ser excluído nem exclua novo.
",Analogy,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","sê excluído de saber, e excluirás sábio.
",Analogy,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","nalgum auxílio do excluído
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","onde o meu amigo exclua um auxílio
",Comp_Vec,TFIDFVectorizer,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","dia que não excluo o auxílio não é dia
",Comp_Vec,BERT,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem exclua medo compra um cão.
",Comp_Vec,BERT,BERT
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ser ou não ser
",-,-,TFIDFVectorizer
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","respeitai os bens dos outros, se quereis possuir os vossos tranquilamente.
",-,-,BERT
UA estão a apontar para o pior número de desemprego da sua história,"a história do número
",Substitution,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"a vez do rock
",Substitution,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"o feitiço da história
",Substitution,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"noite vã em castelo branco
",Substitution,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"o rabo é o pior de apontá.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"quem muito ensina pouco aponta.
",Analogy,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"apontá de homem que não fale e de cão que não ladre.
",Analogy,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"não começa para amanhã o que podes apontá hoje.
",Analogy,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"para apontá, até o ferro pior.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"aponta que é pior!
",Comp_Vec,TFIDFVectorizer,BERT
UA estão a apontar para o pior número de desemprego da sua história,"para a fome não aponta pão pior.
",Comp_Vec,BERT,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"a água pior, na terra seca, aponta doce.
",Comp_Vec,BERT,BERT
UA estão a apontar para o pior número de desemprego da sua história,"pior é nada.
",-,-,TFIDFVectorizer
UA estão a apontar para o pior número de desemprego da sua história,"não vendas a pele do urso antes de o matar.
",-,-,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios são para as ocasiões.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","a boa fé é uma moeda, que quase não tem curso no exemplo da vida.
",Substitution,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios são para as ocasiões.
",Substitution,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","portugueses das mil e uma noites
",Substitution,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios e os bodes da morte
",Analogy,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","o homem mais independente é, ainda, escravo do ar que organiza.
",Analogy,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","um espião entre os bodes expiatórios
",Analogy,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","em expiatório comem-se as cerejas ao borralho.
",Analogy,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios e os bodes da morte
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os expiatórios e os bodes da morte
",Comp_Vec,TFIDFVectorizer,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","bodes meus, má fortuna, amor ardente
",Comp_Vec,BERT,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","o ódio dos expiatórios, honra o bode de bem.
",Comp_Vec,BERT,BERT
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","os últimos são os primeiros.
",-,-,TFIDFVectorizer
"Rooney sobre cortes de salários: ""Porque é que são os futebolistas os bodes expiatórios?""","lisboa é praça de armas, coimbra dos estudantes, porto dos mercadores, vila real dos amantes.
",-,-,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as linhas de torres
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"nem todas as circunstâncias se dizem.
",Substitution,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"condições de um casamento
",Substitution,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"muito se engana quem pensa.
",Substitution,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"e foram definidas para sempre...?
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as definidas contas fazem os especificados amigos.
",Analogy,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"deixa as luzes definidas
",Analogy,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"definido nascente que específico descora, tempo de chuva que está p'ra demora.
",Analogy,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"o maior crédito definida vale, quando a honra fica de pé.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"créditos definidos de paris
",Comp_Vec,TFIDFVectorizer,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"o crédito: definidas furiosas
",Comp_Vec,BERT,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"casa definida, trancas à porta.
",Comp_Vec,BERT,BERT
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as linhas de torres
",-,-,TFIDFVectorizer
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,-,BERT
Sol e calor após o fim do estado de emergência,"a noite do fim do fim
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"quem muito estrela, pouco assisa.
",Substitution,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"a marca do calor
",Substitution,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"só precisamos de céu
",Substitution,BERT,BERT
Sol e calor após o fim do estado de emergência,"a noite do fim do sol
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"ao calor de um outro equipamento
",Analogy,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"o calor do meu sol
",Analogy,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"o que não tem calor remediado está.
",Analogy,BERT,BERT
Sol e calor após o fim do estado de emergência,"a emergência do calor do mundo
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"emergências de santa cruz
",Comp_Vec,TFIDFVectorizer,BERT
Sol e calor após o fim do estado de emergência,"a emergência de calor
",Comp_Vec,BERT,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"calor com a emergência
",Comp_Vec,BERT,BERT
Sol e calor após o fim do estado de emergência,"o estado da nação
",-,-,TFIDFVectorizer
Sol e calor após o fim do estado de emergência,"vaticano: o rosto oculto do estado mais pequeno do mundo
",-,-,BERT
Governo decide futuro das competições de futebol,"a casa das competições
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"isto é para a partida?
",Substitution,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"de governo em governo a galinha enche o papo.
",Substitution,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"vai lá para fora resolva
",Substitution,BERT,BERT
Governo decide futuro das competições de futebol,"o futuro a deus decida.
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"a nossa marcha decida linda!
",Analogy,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"decide um conselho, pede-o ao velho.
",Analogy,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"respeitai os bens dos outros, se decidi apressá os vossos tranquilamente.
",Analogy,BERT,BERT
Governo decide futuro das competições de futebol,"zomba das competições quem nunca decida ferido.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Governo decide futuro das competições de futebol,"decidi com a competição: autobiografia póstuma de um cineasta
",Comp_Vec,TFIDFVectorizer,BERT
Governo decide futuro das competições de futebol,"fora de competição quem não decida de competição
",Comp_Vec,BERT,TFIDFVectorizer
Governo decide futuro das competições de futebol,"mais decida o calar do mundo, que o falar do mentiroso.
",Comp_Vec,BERT,BERT
Governo decide futuro das competições de futebol,"gala internacional de futebol
",-,-,TFIDFVectorizer
Governo decide futuro das competições de futebol,"bunker ou contos que ouvi depois do mundo acabar
",-,-,BERT
Portugal sem casos de crianças com reação inflamatória rara,"não há bela sem senão, nem rara sem sua graça.
",Substitution,TFIDFVectorizer,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"rara aventura na quinta
",Substitution,TFIDFVectorizer,BERT
Portugal sem casos de crianças com reação inflamatória rara,"o fim dos casos
",Substitution,BERT,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"os cavaleiros do homem
",Substitution,BERT,BERT
Portugal sem casos de crianças com reação inflamatória rara,"a costura de inflamatória
",Analogy,TFIDFVectorizer,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"agressões sexuais de uma família francesa
",Analogy,TFIDFVectorizer,BERT
Portugal sem casos de crianças com reação inflamatória rara,"nuvens inflamatórias, sem ligação, bom tempo, brisas de feição.
",Analogy,BERT,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"força física é a lei do inflamatório.
",Analogy,BERT,BERT
Portugal sem casos de crianças com reação inflamatória rara,"não há inflamatória sem senão, nem rara sem sua graça.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"não há inflamatória sem senão, nem rara sem sua graça.
",Comp_Vec,TFIDFVectorizer,BERT
Portugal sem casos de crianças com reação inflamatória rara,"nuvens inflamatórias, sem ligação, raríssimo tempo, brisas de feição.
",Comp_Vec,BERT,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"não há nada, por mais raríssimo que seja, que não fosse já inflamatório.
",Comp_Vec,BERT,BERT
Portugal sem casos de crianças com reação inflamatória rara,"as crianças de paris
",-,-,TFIDFVectorizer
Portugal sem casos de crianças com reação inflamatória rara,"nuvens finas, sem ligação, bom tempo, brisas de feição.
",-,-,BERT
